schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o83167,1,29,35,0,0,0,3,3,31,37
o83168,1,1,21,0,0,0,3,3,3,23
o83170,1,5,1,0,0,0,3,3,7,3
o83253,0,58,58,0,0,0,1,1,61,61
o83258,1,76,17,0,2,0,3,3,85,19
o83269,0,0,10,0,0,0,1,1,1,11
o83270,0,25,,0,0,,1,1,37,
o83272,3,7,13,0,0,0,7,7,11,17
o83275,,7,13,,0,0,15,,15,21
o83276,1,23,89,0,5,0,5,5,41,95
o83277,0,133,52,0,0,0,1,1,143,55
o83279,0,50,15,0,0,0,1,1,61,19
o83280,2,539,27,0,0,0,5,5,703,35
o83282,1,7,118,0,7,0,5,5,19,137
o83283,0,,103,0,,0,5,5,,111
o83286,123,,138,26,,24,193,197,,233
o83287,144,1049,771,0,107,0,943,943,1015,1379
o83289,8,9,12,0,0,0,19,19,19,23
o83290,1,,30,0,,0,9,9,,39
o83291,2,,20,0,,0,9,9,,35
o83292,5,,14,0,,0,15,15,,25
o83293,2,105,26,0,0,0,9,9,149,35
o83294,2,8,21,0,0,0,9,9,15,31
o83301,0,2,23,0,0,0,1,1,3,27
o83308,0,8,8,0,0,0,1,1,9,9
o83312,0,10,16,0,0,0,1,1,11,17
o83326,1,,1,0,,0,3,3,,3
o83341,0,28,10,0,0,0,3,3,31,
o83357,0,2,43,0,0,0,1,1,3,53
o83374,1,,,0,,,3,3,,
o83390,0,16,4,0,0,0,1,1,17,5
o83391,3,5,3,0,0,0,7,7,9,7
o83392,3,129,4,0,9,0,9,9,175,11
o83393,3,23,61,0,3,0,9,9,33,91
o83394,6,10,12,0,1,0,15,15,11,25
o83406,1,3,5,0,0,0,3,3,5,7
o83410,0,0,64,0,0,0,1,1,1,75
o83411,5,5,5,0,0,0,11,11,11,11
o83675,1,13,61,0,0,0,3,3,15,67
o83677,4,,152,1,,12,15,15,,187
o83684,3,3,3,0,0,0,7,7,7,7
o83685,3,17,3,0,0,0,7,7,21,7
o83687,1,2,2,0,1,0,7,7,7,7
o83688,1,1,1,0,0,0,3,3,3,3
o83689,6,5,4,1,1,0,7,11,9,7
o83690,1,3,1,0,1,0,3,3,5,3
o83692,0,10,8,0,0,0,1,1,11,9
o83693,0,,10,0,,0,1,1,,11
o83695,0,4,8,0,0,0,1,1,5,9
o83697,3,3,3,0,0,0,7,7,7,7
o83698,0,2,4,0,0,0,1,1,3,5
o8370,0,6,327,0,0,6,1,1,7,373
o83702,0,0,10,0,0,0,1,1,1,11
o83705,0,2,6,0,0,0,1,1,3,7
o83707,0,38,6,0,0,0,1,1,49,7
o83708,4,,4,0,,0,13,13,,13
o83709,3,3,3,0,0,0,7,7,7,7
o83710,0,0,1,0,0,0,1,1,1,3
o83711,0,10,10,0,0,0,1,1,13,11
o83712,0,32,12,0,0,0,1,1,33,13
o83718,0,2,28,0,0,0,1,1,3,29
o83719,4,3,2,0,1,0,5,5,3,5
o83720,0,120,38,0,0,0,1,1,181,43
o83721,0,10,34,0,0,0,1,1,11,39
o83722,0,4,13,0,0,0,1,1,5,15
o83723,1,1,1,0,0,0,3,3,3,3
o83725,1,1,1,0,0,0,3,3,3,3
o83726,0,30,15,0,0,0,1,1,37,19
o83739,0,37,4,0,0,0,1,1,47,5
o83748,2,2,51,0,0,0,5,5,5,65
o83757,1,,5,0,,0,5,5,,9
o83771,1,15,,0,0,,3,3,17,
o83807,1,3,15,0,0,0,3,3,5,17
o83812,4,,4,0,,0,9,9,,9
o83813,5,8,,0,0,,13,13,15,
o83815,1,,,0,,,5,5,,
o83828,8,,,0,,,35,35,,
o8383,1,256,54,0,8,6,5,5,359,63
o83834,2,2,82,0,0,9,15,15,15,95
o83835,3,,,0,,,7,7,,
o83837,0,0,,0,0,,1,1,1,
o83838,0,0,,0,0,,1,1,1,
o83839,0,0,,0,0,,1,1,1,
o83840,0,0,,0,0,,1,1,1,
o83841,0,0,201,0,0,0,1,1,1,221
o83844,1,3,39,0,0,0,3,3,5,41
o83845,1,3,1,0,0,0,3,3,5,3
o83846,1,3,229,0,0,0,3,3,5,269
o83847,1,3,309,0,0,0,3,3,5,359
o83850,1,13,,0,1,,3,3,21,
o83854,2,2,41,0,0,0,5,5,5,45
o83855,0,6,32,0,0,0,1,1,7,37
o83859,,0,14,,0,0,1,,1,15
o83864,0,225,26,0,0,0,3,3,247,35
o83898,1,11,1,0,0,0,3,3,13,3
o83902,4,4,4,0,0,0,9,9,9,9
o83932,1,,1371,0,1,1,3,3,1,1465
o83934,0,,4,0,,0,1,1,,5
o83938,2,6,2,0,0,0,5,5,9,5
o83939,2,,5,0,,0,7,7,,9
o83940,0,29,2,0,0,0,1,1,35,3
o83990,7,19,20,0,1,0,21,21,3,33
o83992,0,38,159,0,6,0,3,3,49,167
o83993,7,22,115,0,2,1,23,23,15,137
o84027,0,19,10,0,0,0,1,1,27,11
o84028,0,56,7,0,0,0,1,1,81,9
o8403,2,22,10,0,0,0,9,9,39,25
o84043,1,1,9,0,0,0,3,3,3,11
o84044,0,6,36,0,2,0,3,3,9,39
o84047,0,0,44,0,0,0,1,1,1,45
o84048,0,30,56,0,0,0,1,1,31,57
o84049,0,0,60,0,0,0,1,1,1,61
o84050,0,90,10,0,0,0,1,1,117,11
o84051,0,82,16,0,0,0,1,1,103,17
o84052,0,2,44,0,0,0,1,1,3,45
o84053,0,22,74,0,0,0,1,1,29,75
o84054,0,8,60,0,0,0,1,1,9,61
o84055,0,95,48,0,0,0,1,1,131,49
o84069,5,,393,0,,0,21,21,,445
o84111,0,12,64,0,0,0,1,1,13,69
o84114,0,576,26,0,0,0,1,1,775,27
